name,combo
Pedro,2-2-4
Berry,5-9-5
Dewitt,5-4-9
Ervin,5-9-5
Forest,2-9-2
Lynn,7-4-2
Pink,9-5-5
Ruben,8-7-6
Sanford,7-7-5
Ward,1-9-1
Douglas,1-6-7
Ole,2-3-5
Omer,2-4-6
Ulysses,8-4-3
Walker,6-1-7
Wilbert,5-3-8
Adelbert,2-2-4
Benjiman,6-8-5
Ivan,1-9-1
Jonas,7-7-5
Major,7-5-3
Abner,6-7-4
Archibald,2-2-4
Caleb,6-8-5
Clint,9-4-4
Dudley,8-9-8
Granville,6-4-1
King,9-5-5
Mary,1-2-3
Merton,2-2-4
Antonio,4-3-7
Bennie,1-3-4
Carroll,7-9-7
Freeman,2-6-8
Josiah,7-1-8
Milo,6-7-4
Royal,7-3-1
Dick,9-9-9
Earle,2-3-5
Elza,6-2-8
Emerson,7-1-8
Fletcher,1-4-5
Judge,8-3-2
Laurence,5-2-7
Neil,5-8-4
Roger,2-7-9
Seth,5-2-7
Glen,5-6-2
Hugo,9-6-6
Jimmie,5-9-5
Johnnie,2-1-3
Washington,7-6-4
Elwood,8-3-2
Gust,3-1-4
Harmon,7-8-6
Jordan,7-1-8
Simeon,2-1-3
Wayne,6-8-5
Wilber,5-1-6
Clem,5-1-6
Evan,6-9-6
Frederic,1-4-5
Irwin,9-1-1
Junius,6-7-4
Lafayette,3-2-5
Loren,2-8-1
Madison,7-5-3
Mason,7-1-8
Orval,7-7-5
Abram,2-6-8
Aubrey,9-9-9
Elliott,2-1-3
Hans,1-5-6
Karl,1-5-6
Minor,6-9-6
Wash,1-5-6
Wilfred,5-9-5
Allan,2-2-4
Alphonse,3-6-9
Dallas,2-2-4
Dee,1-4-5
Isiah,1-9-1
Jason,7-7-5
Johnny,6-8-5
Lawson,7-5-3
Lew,5-8-4
Micheal,6-9-6
Orin,6-5-2
Addison,7-5-3
Cal,1-6-7
Erastus,9-4-4
Francisco,7-9-7
Hardy,1-1-2
Lucien,8-2-1
Randolph,7-9-7
Stewart,6-1-7
Vern,5-9-5
Wilmer,5-3-8
Zack,1-4-5
Adrian,2-9-2
Alvah,2-6-8
Bertram,6-8-5
Clay,1-4-5
Ephraim,6-1-7
Fritz,9-7-7
Giles,5-2-7
Grover,2-2-4
Harris,1-9-1
Isom,6-5-2
Jesus,8-3-2
Johnie,2-5-7
Jonathan,8-3-2
Lucian,4-2-6
Malcolm,7-8-6
Merritt,5-8-4
Otho,3-1-4
Perley,1-8-9
Rolla,7-6-4
Sandy,1-8-9
Tomas,7-7-5
Wilford,6-9-6
Adolphus,1-5-6
Angus,4-4-8
Arther,6-1-7
Carlos,7-7-5
Cary,1-1-2
Cassius,4-6-1
Davis,1-9-1
Hamilton,7-4-2
Harve,6-3-9
Israel,6-4-1
Leander,2-3-5
Melville,1-8-9
Merle,1-7-8
Murray,4-2-6
Pleasant,7-9-7
Sterling,5-9-5
Steven,1-3-4
Axel,6-9-6
Boyd,6-4-1
Bryant,1-7-8
Clement,1-8-9
Erwin,5-1-6
Ezekiel,6-4-1
Foster,2-9-2
Frances,6-6-3
Geo,2-7-9
Houston,6-7-4
Issac,1-5-6
Jules,8-5-4
Larkin,1-1-2
Mat,1-6-7
Morton,3-2-5
Orlando,4-3-7
Pierce,1-1-2
Prince,5-6-2
