name,combo
FOWLER,2-5-7
BOWMAN,7-7-5
DAVIDSON,7-9-7
MAY,1-2-3
DAY,1-2-3
SCHNEIDER,1-3-4
NEWMAN,6-1-7
BREWER,1-7-8
LUCAS,4-7-2
HOLLAND,7-5-3
WONG,6-8-5
BANKS,1-1-2
SANTOS,7-9-7
CURTIS,3-6-9
PEARSON,3-4-7
DELGADO,3-9-3
VALDEZ,6-1-7
PENA,6-3-9
RIOS,6-1-7
DOUGLAS,1-6-7
SANDOVAL,8-8-7
BARRETT,6-6-3
HOPKINS,6-5-2
KELLER,1-8-9
GUERRERO,1-7-8
STANLEY,6-9-6
BATES,6-5-2
ALVARADO,9-2-2
BECK,5-7-3
ORTEGA,3-9-3
WADE,6-9-6
ESTRADA,7-7-5
CONTRERAS,3-2-5
BARNETT,6-2-8
CALDWELL,6-3-9
SANTIAGO,8-6-5
LAMBERT,6-2-8
POWERS,2-4-6
CHAMBERS,6-9-6
NUNEZ,8-9-8
CRAIG,1-1-2
LEONARD,3-3-6
LOWE,2-8-1
RHODES,2-4-6
BYRD,7-6-4
GREGORY,2-3-5
SHELTON,2-1-3
FRAZIER,6-5-2
BECKER,1-7-8
MALDONADO,5-2-7
FLEMING,5-7-3
VEGA,6-2-8
SUTTON,9-1-1
COHEN,2-7-9
JENNINGS,5-6-2
PARKS,1-1-2
MCDANIEL,6-1-7
WATTS,1-1-2
BARKER,6-4-1
NORRIS,6-6-3
VAUGHN,4-6-1
VAZQUEZ,9-1-1
HOLT,6-4-1
SCHWARTZ,1-9-1
STEELE,6-6-3
BENSON,2-4-6
NEAL,6-8-5
DOMINGUEZ,5-1-6
HORTON,3-6-9
TERRY,5-9-5
WOLFE,2-5-7
HALE,6-2-8
LYONS,6-7-4
GRAVES,6-3-9
HAYNES,6-3-9
MILES,5-8-4
PARK,1-9-1
WARNER,6-1-7
PADILLA,2-8-1
BUSH,3-2-5
THORNTON,3-4-7
MCCARTHY,1-9-1
MANN,1-5-6
ZIMMERMAN,6-7-4
ERICKSON,2-2-4
FLETCHER,1-4-5
MCKINNEY,5-8-4
PAGE,6-5-2
DAWSON,7-6-4
JOSEPH,2-8-1
MARQUEZ,9-2-2
REEVES,6-5-2
KLEIN,5-1-6
ESPINOZA,3-3-6
BALDWIN,1-1-2
MORAN,7-9-7
LOVE,2-7-9
ROBBINS,6-1-7
HIGGINS,9-1-1
BALL,1-8-9
CORTEZ,2-4-6
LE,5-3-8
GRIFFITH,9-2-2
BOWEN,2-3-5
SHARP,1-7-8
CUMMINGS,3-6-9
RAMSEY,6-3-9
HARDY,1-1-2
SWANSON,7-8-6
BARBER,6-4-1
ACOSTA,8-6-5
LUNA,4-8-3
CHANDLER,6-5-2
BLAIR,1-5-6
DANIEL,6-3-9
CROSS,6-5-2
SIMON,6-1-7
DENNIS,5-6-2
OCONNOR,9-4-4
QUINN,3-9-3
GROSS,6-9-6
NAVARRO,8-9-8
MOSS,6-6-3
FITZGERALD,6-3-9
DOYLE,2-5-7
MCLAUGHLIN,4-6-1
ROJAS,7-2-9
RODGERS,2-3-5
STEVENSON,7-9-7
SINGH,9-3-3
YANG,1-1-2
FIGUEROA,6-4-1
HARMON,7-8-6
NEWTON,2-8-1
PAUL,4-1-5
MANNING,1-8-9
GARNER,6-3-9
MCGEE,1-5-6
REESE,6-1-7
FRANCIS,1-6-7
BURGESS,8-2-1
ADKINS,1-3-4
GOODMAN,4-2-6
CURRY,3-1-4
BRADY,1-4-5
CHRISTENSEN,1-7-8
POTTER,2-2-4
WALTON,7-6-4
GOODWIN,3-3-6
MULLINS,3-7-1
MOLINA,7-3-1
WEBSTER,1-1-2
FISCHER,5-9-5
CAMPOS,7-6-4
AVILA,2-7-9
SHERMAN,6-9-6
TODD,6-1-7
CHANG,1-5-6
BLAKE,6-7-4
MALONE,3-3-6
WOLF,6-5-2
HODGES,2-2-4
JUAREZ,9-9-9
GILL,9-4-4
FARMER,6-1-7
HINES,5-5-1
GALLAGHER,7-1-8
DURAN,4-9-4
HUBBARD,4-7-2
CANNON,7-9-7
MIRANDA,2-4-6
WANG,1-8-9
SAUNDERS,9-2-2
TATE,6-4-1
MACK,1-9-1
HAMMOND,7-7-5
CARRILLO,7-9-7
TOWNSEND,2-4-6
WISE,5-6-2
INGRAM,1-7-8
BARTON,7-9-7
MEJIA,6-5-2
AYALA,3-1-4
SCHROEDER,7-7-5
HAMPTON,7-8-6
ROWE,2-5-7
PARSONS,7-5-3
FRANK,1-4-5
WATERS,6-8-5
STRICKLAND,1-2-3
OSBORNE,8-8-7
MAXWELL,6-3-9
CHAN,1-7-8
DELEON,7-3-1
NORMAN,7-5-3
HARRINGTON,7-9-7
CASEY,6-2-8
PATTON,7-7-5
LOGAN,7-6-4
BOWERS,2-8-1
MUELLER,4-1-5
GLOVER,2-5-7
FLOYD,6-2-8
HARTMAN,2-1-3
BUCHANAN,5-5-1
COBB,6-7-4
FRENCH,5-4-9
KRAMER,6-6-3
MCCORMICK,6-1-7
CLARKE,6-8-5
TYLER,5-3-8
GIBBS,9-3-3
MOODY,3-6-9
CONNER,2-4-6
SPARKS,1-2-3
MCGUIRE,8-5-4
LEON,2-8-1
BAUER,9-2-2
NORTON,3-3-6
POPE,2-5-7
FLYNN,7-1-8
HOGAN,7-2-9
ROBLES,2-6-8
SALINAS,2-1-3
YATES,6-1-7
LINDSEY,5-2-7
LLOYD,6-8-5
MARSH,1-4-5
MCBRIDE,5-4-9
OWEN,2-1-3
SOLIS,6-5-2
PHAM,1-1-2
LANG,1-6-7
PRATT,1-2-3
LARA,2-3-5
BROCK,6-7-4
BALLARD,2-3-5
TRUJILLO,9-9-9
SHAFFER,6-3-9
DRAKE,6-6-3
ROMAN,7-9-7
AGUIRRE,9-7-7
MORTON,3-2-5
STOKES,2-6-8
LAMB,1-9-1
PACHECO,3-3-6
PATRICK,1-5-6
COCHRAN,7-1-8
SHEPHERD,1-1-2
CAIN,1-8-9
BURNETT,8-2-1
HESS,5-1-6
LI,9-3-3
CERVANTES,2-6-8
OLSEN,2-9-2
BRIGGS,9-8-8
OCHOA,4-2-6
CABRERA,7-5-3
VELASQUEZ,5-6-2
MONTOYA,4-9-4
ROTH,6-1-7
MEYERS,1-3-4
CARDENAS,7-4-2
FUENTES,4-5-9
WEISS,5-7-3
HOOVER,8-3-2
WILKINS,9-7-7
NICHOLSON,3-7-1
UNDERWOOD,2-9-2
SHORT,6-2-8
CARSON,7-9-7
MORROW,3-9-3
COLON,3-2-5
HOLLOWAY,4-8-3
SUMMERS,8-1-9
BRYAN,1-5-6
PETERSEN,6-6-3
MCKENZIE,1-4-5
SERRANO,3-6-9
WILCOX,6-8-5
CAREY,6-1-7
CLAYTON,7-4-2
POOLE,8-1-9
CALDERON,3-6-9
GALLEGOS,3-3-6
GREER,1-7-8
RIVAS,1-5-6
GUERRA,9-7-7
DECKER,1-9-1
COLLIER,2-9-2
WALL,1-2-3
WHITAKER,6-8-5
BASS,1-4-5
FLOWERS,2-6-8
DAVENPORT,3-4-7
CONLEY,2-9-2
HOUSTON,6-7-4
HUFF,3-2-5
COPELAND,3-4-7
HOOD,3-3-6
